CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
MLA23L14,176,42.663044779731344,"['MARQUETALIA', 'PENSILVANIA']",71.0,1096.0,71.0,47,"['1CC', '2CC', '2CFR', '3CC', '3OS', '3RG', '3RL']",47
MLA23L13,209,42.292276399424054,"['MARQUETALIA', 'VICTORIA']",78.0,1221.5,78.0,48,"['1CC', '2CC', '2CFR', '3CC', '3CR', '3OS', '3RG', '3RL']",48
VBO23L13,382,41.15564168506116,"['BELALCAZAR', 'SAN JOSE', 'VITERBO']",90.0,4893.0,89.0,60,"['1CC', '2CC', '3CC', '3IG', '3OS', '3RL']",59
BOL23L13,166,41.08805428253189,"['MANZANARES', 'MARQUETALIA', 'PENSILVANIA']",64.0,3805.0,64.0,38,"['1CC', '2CC', '2CFR', '3CC', '3CR', '3OS', '3RG', '3RL']",38
HER23L12,533,40.5684420570164,['SANTA ROSA DE CABAL'],191.0,10688.5,191.0,69,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",69
AGU23L16,125,39.82735107101478,['AGUADAS'],39.0,468.5,39.0,17,"['2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",17
MGT23L15,261,39.65434804387964,"['ANSERMA', 'RISARALDA', 'SAN JOSE']",93.0,2530.0,93.0,47,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",47
DOR23L14,628,37.85062007578329,"['LA DORADA', 'PUERTO SALGAR']",204.0,16299.0,204.0,84,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",84
ROS23L19,214,37.632238404023646,"['DOSQUEBRADAS', 'MARSELLA', 'SANTA ROSA DE CABAL']",74.0,1876.0,74.0,37,"['1CC', '2CC', '2CFR', '3CC', '3CR', '3IG', '3OS', '3RL']",37
MNA23L12,273,37.109491952463394,"['MANIZALES', 'PALESTINA']",116.0,3208.0,116.0,68,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",68
SIO23L14,159,36.90725786495624,['SANTUARIO'],67.0,1243.5,67.0,47,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",47
LMC23L12,181,36.530612398237686,"['LA MERCED', 'SUPIA']",54.0,835.0,54.0,44,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",44
SLM23L12,162,34.73910632341825,"['PACORA', 'SALAMINA']",46.0,681.0,46.0,38,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",38
MOL23L16,360,32.60470164838976,"['DOSQUEBRADAS', 'SANTA ROSA DE CABAL']",112.0,4755.5,112.0,56,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",56
PSO23L12,276,32.09622762282431,"['MANIZALES', 'NEIRA']",102.0,4061.0,102.0,34,"['1CC', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",34
BVA23L12,97,30.725346458616883,"['LA DORADA', 'SONSON']",20.0,567.5,20.0,13,"['1CC', '2CC', '3CC', '3IG', '3OS', '3RL']",13
